BirdID,ID,X_Coordinate,Y_Coordinate,Iterations
GREY,GREY_314,-76.15440174,45.26191618,1
GREY,GREY_316,-76.15440778,45.26223501,1
GREY,GREY_333,-76.15469892,45.261657,1
GREY,GREY_337,-76.15487449,45.26216688,1
GREY,GREY_347,-76.15461844,45.26214471,1
GREY,GREY_35,-76.15432467,45.26267117,3
GREY,GREY_366,-76.15477238,45.26282321,1
GREY,GREY_369,-76.15499905,45.2625463,1
GREY,GREY_385,-76.15514891,45.26232022,1
GREY,GREY_389,-76.15446729,45.26201867,1
GREY,GREY_48,-76.15493158,45.26262969,1
GREY,GREY_59,-76.15447061,45.26195252,10
GREY,GREY_63,-76.15515691,45.26318329,2
GREY,GREY_75,-76.15483649,45.26235199,1
GREY,GREY_92,-76.15406699,45.26242772,2
GRUE,GRUE_0,-76.15307409,45.25626634,1
GRUE,GRUE_0_1,-76.1535041,45.25563221,1
GRUE,GRUE_11,-76.15579555,45.25287694,7
GRUE,GRUE_112,-76.15355513,45.25674938,1
GRUE,GRUE_122,-76.15338218,45.25754219,1
GRUE,GRUE_144,-76.15362712,45.25809537,1
GRUE,GRUE_17,-76.15345981,45.25569292,1
GRUE,GRUE_50,-76.15330951,45.25612012,1
GRUE,GRUE_65,-76.15388242,45.25597602,1
GRUE,GRUE_77,-76.15370609,45.2557125,1
GRUE,GRUE_90,-76.15359683,45.25642928,1
JR,JR_136,-76.22816383,45.29124532,1
JR,JR_185,-76.22820027,45.29076344,1
JR,JR_194,-76.22777916,45.2908798,1
JR,JR_209,-76.22900844,45.29085605,1
JR,JR_287,-76.22838624,45.29081841,1
JR,JR_39,-76.22733985,45.2917058,1
JR,JR_53,-76.22799558,45.29093739,1
JR,JR_85,-76.22793473,45.29118199,1
JR,JR_98,-76.22773499,45.29130127,1
LUCKY,LUCKY_113,-76.22869155,45.29139553,1
LUCKY,LUCKY_125,-76.22794077,45.29166061,1
LUCKY,LUCKY_135,-76.22852935,45.28925339,5
LUCKY,LUCKY_145,-76.22824909,45.29209335,1
LUCKY,LUCKY_155,-76.22817895,45.29159956,1
LUCKY,LUCKY_187,-76.22932222,45.29133595,2
LUCKY,LUCKY_193,-76.22786482,45.29135001,1
LUCKY,LUCKY_201,-76.22816869,45.29152529,1
LUCKY,LUCKY_210,-76.22792652,45.29141476,1
LUCKY,LUCKY_272,-76.22770044,45.29092344,1
LUCKY,LUCKY_288,-76.2282166,45.29118803,1
LUCKY,LUCKY_304,-76.22891838,45.29166859,1
LUCKY,LUCKY_357,-76.22832735,45.29150887,1
LUCKY,LUCKY_372,-76.22793349,45.29107158,1
LUCKY,LUCKY_377,-76.22793216,45.29103034,2
LUCKY,LUCKY_38,-76.22742477,45.2914483,1
LUCKY,LUCKY_394,-76.22854891,45.29106192,1
LUCKY,LUCKY_42,-76.22821789,45.29065361,3
LUCKY,LUCKY_52,-76.22806805,45.29140046,1
LUCKY,LUCKY_67,-76.2287597,45.29160848,1
LUCKY,LUCKY_80,-76.22890959,45.29139519,2
LUCKY,LUCKY_86,-76.2284261,45.29144743,1
LUCKY,LUCKY_95,-76.22947569,45.29110187,1
RED,RED_0,-76.1503281,45.25679956,1
RED,RED_0_6_4,-76.15079467,45.25704315,1
RED,RED_117,-76.15086743,45.25690071,1
RED,RED_12,-76.14964018,45.257679,1
RED,RED_129,-76.15070544,45.25689699,1
RED,RED_139,-76.15060577,45.25688458,1
RED,RED_161,-76.15107096,45.25685069,1
RED,RED_162,-76.15114258,45.25796501,1
RED,RED_171,-76.15187459,45.25799374,1
RED,RED_223,-76.15158641,45.25704383,1
RED,RED_275,-76.15060327,45.25666735,1
RED,RED_283,-76.15046845,45.2568668,1
RED,RED_290,-76.15023313,45.25808647,4
RED,RED_310,-76.14959303,45.25782397,3
RED,RED_32,-76.15092558,45.25718976,1
RED,RED_334,-76.15038361,45.25697367,1
RED,RED_4,-76.15083263,45.25704283,1
RED,RED_5,-76.14936128,45.25689475,1
RED,RED_51,-76.15072257,45.25691302,1
RED,RED_56,-76.15007451,45.25663634,1
RED,RED_6,-76.1506115,45.25689555,1
RED,RED_66,-76.15024335,45.25706156,1
RED,RED_7,-76.14950293,45.25710551,1
RED,RED_72,-76.15023619,45.25620942,1
