contlabel,BirdID,TagID,Visual,Triangulation,Home Range
17,CASH,Black/Black,71.4040332731092,664.335204971721,192.830230887281
16,CASH,Black/Black,69.3452162826434,627.977557464968,183.850473950035
15,CASH,Black/Black,67.3008654264268,586.427903233096,179.75785020669
14,CASH,Black/Black,65.2736673753243,537.468034189194,175.664147991221
13,CASH,Black/Black,62.4701604819857,489.412334977882,172.152723201551
12,CASH,Black/Black,59.2296757030999,442.635320668458,168.701081445673
11,CASH,Black/Black,55.9804225413827,397.701371902192,164.808112359606
10,CASH,Black/Black,52.6908451551571,353.571086988668,157.326727803214
9,CASH,Black/Black,49.6277420071419,311.236772901146,149.93845553929
8,CASH,Black/Black,49.3163592414421,270.174043755746,137.769738879055
7,CASH,Black/Black,49.0048694314792,240.326747497078,116.113739086315
6,CASH,Black/Black,48.6936850996353,216.73003520933,94.632011848269
5,CASH,Black/Black,48.3828062549801,192.542513245484,75.1140465179924
4,CASH,Black/Black,44.7659767522127,169.346919304109,56.8309892905236
3,CASH,Black/Black,38.5057544398587,146.216281360015,38.7506967071968
2,CASH,Black/Black,32.3563921900932,123.934035615763,27.5949643299682
1,CASH,Black/Black,26.3355776928365,101.075467284536,18.557334597921
99,FURY,Black/Red,56284.2755469307,23216.4424159797,59883.0574349063
98,FURY,Black/Red,55898.0051320517,23191.0587323783,58848.7618234772
97,FURY,Black/Red,55511.0761222681,23165.1679438958,57834.3513167705
96,FURY,Black/Red,55125.625723968,23139.0323029477,56838.0814083125
95,FURY,Black/Red,54740.0309901023,23112.621661176,55860.4679739969
94,FURY,Black/Red,54353.2388621056,23085.6016862392,54902.0087046539
93,FURY,Black/Red,53967.6341991199,23058.6025566841,53959.856035843
92,FURY,Black/Red,53580.2700749077,23031.495314314,52549.2602858734
91,FURY,Black/Red,53191.056560904,23004.0339079024,51100.6675851964
90,FURY,Black/Red,52798.5899182893,22976.7279666238,49699.3806252936
89,FURY,Black/Red,52406.7575043896,22949.3548371689,48347.5697489561
88,FURY,Black/Red,52016.6833153358,22921.9125317098,47048.2438377242
87,FURY,Black/Red,51620.9373990479,22894.4735379529,45806.7321308809
86,FURY,Black/Red,51221.2242532452,22866.5804665438,44616.1648902185
85,FURY,Black/Red,49869.2357296012,22837.6691996708,44209.5207134867
84,FURY,Black/Red,48051.9535207127,22807.7593264477,44103.7566099865
83,FURY,Black/Red,46130.83429578,22616.9391763881,43998.3391273459
